id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
604474,ETH-2025-1-17147-331,2025,true,Clear,1,16069,16069,Ethiopia: Government/Amhara,17147,17147,Government of Ethiopia - Fano,97,97,Government of Ethiopia,8118,8118,Fano,2,"""My views on news,2025-11-13,Ethiopian Govt's New Move against Eritrea | Drone Strike in Amhara"";""AAA,2025-11-17,War updates from Amhara Region, Ethiopia– November 10th to 16th, 2025""",My views on news;AAA,2025-11-13;2025-11-17,"Ethiopian Govt's New Move against Eritrea | Drone Strike in Amhara;War updates from Amhara Region, Ethiopia– November 10th to 16th, 2025","MVON (Pro-Fano sources, pro-government sources); AAA",1,Agut village,"Agut primary school, Sekela woreda, West Gujjam zone",Amhara state,West Gojjam zone,10.841746,37.161007,POINT (37.161007804508394 10.841746283213618),145155,Ethiopia,530,Africa,1,2,2025-11-11,2025-11-12,0,0,0,0,0,2,0,530,
607380,ETH-2025-1-17147-379,2025,true,Clear,1,16069,16069,Ethiopia: Government/Amhara,17147,17147,Government of Ethiopia - Fano,97,97,Government of Ethiopia,8118,8118,Fano,1,"""AAA,2025-11-17,War updates from Amhara Region, Ethiopia– November 10th to 16th, 2025""",AAA,2025-11-17,"War updates from Amhara Region, Ethiopia– November 10th to 16th, 2025",,5,Lay Gayint woreda,"Lay-Gayint Woreda

Santro-Ber and Hagere-Genet Kebeles, Doska village

Denguat, Goha, Islam-Meqabir, Felashit, and Afaf-Mender",Amhara state,South Gondar zone,11.884681,38.437776,POINT (38.437776 11.884681),146597,Ethiopia,530,Africa,1,1,2025-11-11,2025-11-11,0,2,0,0,2,29,2,530,
607368,ETH-2025-1-17147-377,2025,true,Clear,1,16069,16069,Ethiopia: Government/Amhara,17147,17147,Government of Ethiopia - Fano,97,97,Government of Ethiopia,8118,8118,Fano,1,"""AAA,2025-11-17,War updates from Amhara Region, Ethiopia– November 10th to 16th, 2025""",AAA,2025-11-17,"War updates from Amhara Region, Ethiopia– November 10th to 16th, 2025",AAA,2,Lumamē town,"Lumame town neighborhood

between Lumame and Yesenbet Kebele

Awabel woreda",Amhara state,East Gojjam zone,10.25,37.93333,POINT (37.93333 10.25),144436,Ethiopia,530,Africa,1,1,2025-11-12,2025-11-12,0,2,0,0,2,4,2,530,
606284,ETH-2025-1-17147-355,2025,true,Check vague or biased source,1,16069,16069,Ethiopia: Government/Amhara,17147,17147,Government of Ethiopia - Fano,97,97,Government of Ethiopia,8118,8118,Fano,1,"""Borkena,2025-11-14,Fano Reports Military Gain In Wollo, Gojjam Areas""",Borkena,2025-11-14,"Fano Reports Military Gain In Wollo, Gojjam Areas",Fano,2,Debre Markos town,"between Debre Markos and Libanos Kebele

Gozamn woreda",Amhara state,East Gojjam zone,10.334297,37.731643,POINT (37.731643 10.334297),144436,Ethiopia,530,Africa,1,2,2025-11-12,2025-11-14,0,0,0,0,0,3,0,530,
606283,ETH-2025-1-17147-354,2025,true,Check vague or biased source,1,16069,16069,Ethiopia: Government/Amhara,17147,17147,Government of Ethiopia - Fano,97,97,Government of Ethiopia,8118,8118,Fano,2,"""Borkena,2025-11-14,Fano Reports Military Gain In Wollo, Gojjam Areas"";""AAA,2025-11-17,War updates from Amhara Region, Ethiopia– November 10th to 16th, 2025""",Borkena;AAA,2025-11-14;2025-11-17,"Fano Reports Military Gain In Wollo, Gojjam Areas;War updates from Amhara Region, Ethiopia– November 10th to 16th, 2025",Fano; AAA,5,Delanta woreda,"Tere, on the way to Dessie, South Welo, from Tenta and Delanta

Delanta woreda",Amhara state,South Welo zone,11.571896,39.187127,POINT (39.187127 11.571896),146599,Ethiopia,530,Africa,1,1,2025-11-14,2025-11-14,0,0,0,0,0,4,0,530,
606195,ETH-2025-1-17147-344.1,2025,true,Check vague or biased source,1,16069,16069,Ethiopia: Government/Amhara,17147,17147,Government of Ethiopia - Fano,97,97,Government of Ethiopia,8118,8118,Fano,1,"""MVON,2025-11-28,Thousands of Ethiopian Military Soldiers & Fano Fighters Killed?""",MVON,2025-11-28,Thousands of Ethiopian Military Soldiers & Fano Fighters Killed?,MVON (ENDF),3,East Gojjam zone,north gojam and west gojam,Amhara state,East Gojjam zone,10.52907,37.85282,POINT (37.85282 10.52907),145156,Ethiopia,530,Africa,2,4,2025-11-14,2025-11-28,0,0,0,0,0,105,0,530,
606196,ETH-2025-1-17147-344.2,2025,true,Check vague or biased source,1,16069,16069,Ethiopia: Government/Amhara,17147,17147,Government of Ethiopia - Fano,97,97,Government of Ethiopia,8118,8118,Fano,1,"""MVON,2025-11-28,Thousands of Ethiopian Military Soldiers & Fano Fighters Killed?""",MVON,2025-11-28,Thousands of Ethiopian Military Soldiers & Fano Fighters Killed?,MVON (ENDF),3,West Gojjam zone,north gojam and west gojam,Amhara state,West Gojjam zone,11.12001,37.17504,POINT (37.17504 11.12001),145875,Ethiopia,530,Africa,2,4,2025-11-14,2025-11-28,0,0,0,0,0,104,0,530,
604476,ETH-2025-1-17147-332,2025,true,Check deaths,1,16069,16069,Ethiopia: Government/Amhara,17147,17147,Government of Ethiopia - Fano,97,97,Government of Ethiopia,8118,8118,Fano,1,"""My views on news,2025-11-14,Ethiopia Running out of Patience against Eritrea | Fano Enter a Special Woreda""",My views on news,2025-11-14,Ethiopia Running out of Patience against Eritrea | Fano Enter a Special Woreda,MVON,2,Argobba special woreda,Argoba special (?) woreda,Amhara state,,10.933333,39.983333,POINT (39.983333 10.933333),145160,Ethiopia,530,Africa,1,1,2025-11-14,2025-11-14,0,0,0,0,0,1,0,530,
604478,ETH-2025-1-17147-333,2025,true,Clear,1,16069,16069,Ethiopia: Government/Amhara,17147,17147,Government of Ethiopia - Fano,97,97,Government of Ethiopia,8118,8118,Fano,2,"""My views on news,2025-11-14,5th Attack by Fano in a City | Update from Welkait | Marburg Outbreak in Ethiopia"";""AAA,2025-11-17,War updates from Amhara Region, Ethiopia– November 10th to 16th, 2025""",My views on news;AAA,2025-11-14;2025-11-17,"5th Attack by Fano in a City | Update from Welkait | Marburg Outbreak in Ethiopia;War updates from Amhara Region, Ethiopia– November 10th to 16th, 2025",MVON; AAA,1,Adis Kidame town,Addis Kidame,Amhara state,Awi zone,11.082556,36.885817,POINT (36.885817 11.082556),145874,Ethiopia,530,Africa,1,1,2025-11-14,2025-11-14,0,1,0,0,1,5,1,530,
607428,ETH-2025-1-17147-384.1,2025,true,Check vague or biased source,1,16069,16069,Ethiopia: Government/Amhara,17147,17147,Government of Ethiopia - Fano,97,97,Government of Ethiopia,8118,8118,Fano,1,"""BBC Monitoring News Alert,2025-11-16,Fano fighters claim killing 16 Ethiopian soldiers, seizing officer
CR 	Source: Anchor Media, Washington D.C., in Amharic 16 Nov 25""",BBC Monitoring News Alert,2025-11-16,"Fano fighters claim killing 16 Ethiopian soldiers, seizing officer
CR 	Source: Anchor Media, Washington D.C., in Amharic 16 Nov 25",Fano,1,Chiguali village,"Chugwali / Chiguali Fagita-Lekoa woreda, Awi zone",Amhara state,Awi zone,11.065925,36.744011,POINT (36.744010892646806 11.065925061931472),145874,Ethiopia,530,Africa,1,1,2025-11-15,2025-11-15,0,0,0,0,0,8,0,530,
607429,ETH-2025-1-17147-384.2,2025,true,Check vague or biased source,1,16069,16069,Ethiopia: Government/Amhara,17147,17147,Government of Ethiopia - Fano,97,97,Government of Ethiopia,8118,8118,Fano,1,"""BBC Monitoring News Alert,2025-11-16,Fano fighters claim killing 16 Ethiopian soldiers, seizing officer
CR 	Source: Anchor Media, Washington D.C., in Amharic 16 Nov 25""",BBC Monitoring News Alert,2025-11-16,"Fano fighters claim killing 16 Ethiopian soldiers, seizing officer
CR 	Source: Anchor Media, Washington D.C., in Amharic 16 Nov 25",Fano,1,Tīlīlī village,Tilili and Chugwali [phonetic] towns,Amhara state,Awi zone,10.85,37.01667,POINT (37.01667 10.85),145155,Ethiopia,530,Africa,1,1,2025-11-15,2025-11-15,0,0,0,0,0,8,0,530,
607374,ETH-2025-1-17147-378,2025,true,Clear,1,16069,16069,Ethiopia: Government/Amhara,17147,17147,Government of Ethiopia - Fano,97,97,Government of Ethiopia,8118,8118,Fano,1,"""AAA,2025-11-17,War updates from Amhara Region, Ethiopia– November 10th to 16th, 2025""",AAA,2025-11-17,"War updates from Amhara Region, Ethiopia– November 10th to 16th, 2025",AAA,5,Yilmana Densa woreda,"Yilmana-Densa Woreda, Rebu-Gebeya and Dabat Kebeles",Amhara state,West Gojjam zone,11.261411,37.461772,POINT (37.461772902714117 11.261411129456876),145875,Ethiopia,530,Africa,1,1,2025-11-16,2025-11-16,0,2,0,0,2,15,2,530,
604481,ETH-2025-1-17147-334,2025,true,Clear,1,16069,16069,Ethiopia: Government/Amhara,17147,17147,Government of Ethiopia - Fano,97,97,Government of Ethiopia,8118,8118,Fano,1,"""My views on news,2025-11-18,Deadly Attack by Fano | Marburg Virus Update | Asseb Controversy""",My views on news,2025-11-18,Deadly Attack by Fano | Marburg Virus Update | Asseb Controversy,MVON,5,Adama woreda,"Menjer to Bereket road

Adama side of the border.",Oromiya state,East Shewa zone,8.352911,39.231245,POINT (39.231245 8.352911),141559,Ethiopia,530,Africa,1,2,2025-11-16,2025-11-18,2,0,0,0,2,2,2,530,
604484,ETH-2025-1-17147-336,2025,true,Check vague or biased source,1,16069,16069,Ethiopia: Government/Amhara,17147,17147,Government of Ethiopia - Fano,97,97,Government of Ethiopia,8118,8118,Fano,1,"""My views on news,2025-11-20,Tension on Tigray Afar Border | Heavy Fighting on 2 Fronts in Amhara""",My views on news,2025-11-20,Tension on Tigray Afar Border | Heavy Fighting on 2 Fronts in Amhara,MVON (Fano),5,Dabat woreda,Dabat woreda,Amhara state,North Gondar zone,13.042379,37.651017,POINT (37.651017 13.042379),148756,Ethiopia,530,Africa,2,2,2025-11-17,2025-11-20,0,0,0,0,0,3,0,530,
